City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
saskylakh,ru,71.92,114.08,1512795639,-7.94,65.0,44.0,6.85
shunyi,cn,40.12,116.65,1512793800,46.4,19.0,0.0,4.47
vostok,ru,46.49,135.88,1512795970,-2.36,68.0,44.0,2.53
nadym,ru,65.53,72.52,1512795641,16.95,86.0,80.0,7.85
kokopo,pg,-4.35,152.26,1512795971,79.59,100.0,80.0,5.28
hami,cn,42.8,93.45,1512795971,33.28,41.0,0.0,4.72
rikitea,pf,-23.12,-134.97,1512795638,75.31,100.0,92.0,12.1
saskylakh,ru,71.92,114.08,1512795639,-7.94,65.0,44.0,6.85
barrow,us,71.29,-156.79,1512791580,-0.41,77.0,90.0,19.46
clyde river,ca,70.47,-68.59,1512794400,10.4,85.0,90.0,18.34
kendari,id,-3.94,122.5,1512795972,79.54,100.0,24.0,3.76
jamestown,sh,42.1,-79.24,1512795360,24.8,73.0,40.0,10.29
karratha,au,-20.74,116.85,1512795972,100.78,30.0,0.0,11.14
dwarka,in,22.24,68.97,1512795680,77.79,90.0,0.0,11.25
chokurdakh,ru,70.63,147.92,1512795802,-4.61,69.0,64.0,10.31
bredasdorp,za,-34.53,20.04,1512792000,68.0,77.0,56.0,8.05
punta arenas,cl,-53.15,-70.92,1512792000,41.0,80.0,0.0,21.92
kapaa,us,22.08,-159.32,1512791760,75.2,94.0,90.0,6.93
lyngseidet,no,69.58,20.22,1512793200,30.2,58.0,0.0,8.05
cape town,za,-33.93,18.42,1512792000,64.4,82.0,20.0,25.28
qaanaaq,gl,77.48,-69.36,1512795974,24.42,91.0,76.0,11.81
rikitea,pf,-23.12,-134.97,1512795638,75.31,100.0,92.0,12.1
ponta do sol,cv,32.67,-17.1,1512793800,62.6,67.0,75.0,8.05
barrow,us,71.29,-156.79,1512791580,-0.41,77.0,90.0,19.46
bredasdorp,za,-34.53,20.04,1512792000,68.0,77.0,56.0,8.05
dikson,ru,73.51,80.55,1512795636,-0.43,100.0,32.0,26.69
yeppoon,au,-23.13,150.73,1512793800,84.2,58.0,88.0,8.05
saint-philippe,re,-21.36,55.77,1512793800,84.2,58.0,20.0,4.7
san cristobal,ec,7.77,-72.22,1512795600,78.8,69.0,40.0,4.7
puerto ayora,ec,-0.74,-90.35,1512795643,71.13,100.0,0.0,7.74
sistranda,no,63.73,8.83,1512795000,39.2,93.0,75.0,25.28
cayenne,gf,4.93,-52.33,1512793800,77.0,94.0,76.0,2.24
saskylakh,ru,71.92,114.08,1512795639,-7.94,65.0,44.0,6.85
kununurra,au,-15.77,128.73,1512793800,100.4,37.0,64.0,11.41
gamba,ga,-2.65,10.0,1512795977,75.54,96.0,80.0,4.5
krasnyy yar,ru,46.53,48.35,1512793800,30.2,63.0,75.0,8.95
kapaa,us,22.08,-159.32,1512791760,75.2,94.0,90.0,6.93
hobart,au,-42.88,147.33,1512793800,71.6,30.0,0.0,23.04
hilo,us,19.73,-155.09,1512794460,73.4,93.0,90.0,8.12
cabo san lucas,mx,22.89,-109.91,1512790980,68.0,37.0,5.0,3.36
new norfolk,au,-42.78,147.06,1512793800,71.6,30.0,0.0,23.04
vaini,to,-21.2,-175.2,1512795978,77.16,100.0,64.0,20.6
puerto ayora,ec,-0.74,-90.35,1512795643,71.13,100.0,0.0,7.74
kodiak,us,57.79,-152.41,1512791580,39.2,93.0,90.0,12.75
yellowknife,ca,62.46,-114.35,1512792000,8.6,84.0,75.0,8.05
punta arenas,cl,-53.15,-70.92,1512792000,41.0,80.0,0.0,21.92
verkhnevilyuysk,ru,63.45,120.32,1512795979,-24.19,36.0,36.0,4.88
hermanus,za,-34.42,19.23,1512795980,63.34,88.0,88.0,6.55
nivala,fi,63.92,25.0,1512795980,34.77,97.0,88.0,10.31
northview,us,43.05,-85.6,1512794220,35.6,54.0,90.0,3.36
cape town,za,-33.93,18.42,1512792000,64.4,82.0,20.0,25.28
bitung,id,1.45,125.18,1512793800,91.4,59.0,40.0,9.17
hithadhoo,mv,-0.6,73.08,1512795981,82.11,100.0,8.0,9.35
mizdah,ly,31.45,12.98,1512795981,30.13,78.0,0.0,2.82
kapaa,us,22.08,-159.32,1512791760,75.2,94.0,90.0,6.93
georgetown,sh,6.8,-58.16,1512795982,77.56,84.0,68.0,4.61
port elizabeth,za,-33.92,25.57,1512792000,66.2,77.0,0.0,32.21
ushuaia,ar,-54.8,-68.3,1512792000,44.6,65.0,90.0,25.28
hobart,au,-42.88,147.33,1512793800,71.6,30.0,0.0,23.04
tasiilaq,gl,65.61,-37.64,1512795983,27.34,100.0,92.0,17.85
busselton,au,-33.65,115.33,1512795639,79.32,70.0,68.0,3.87
tiksi,ru,71.69,128.87,1512795983,-11.59,76.0,56.0,2.86
bilma,ne,18.69,12.92,1512795983,53.85,46.0,76.0,6.78
resistencia,ar,-27.46,-58.98,1512792000,78.8,61.0,0.0,6.93
tekeli,kz,44.83,78.82,1512795984,31.84,72.0,24.0,4.61
busselton,au,-33.65,115.33,1512795639,79.32,70.0,68.0,3.87
bara,sd,10.37,10.73,1512795984,61.99,52.0,0.0,8.08
nichinan,jp,31.6,131.37,1512794100,53.6,45.0,75.0,11.41
avarua,ck,-21.21,-159.78,1512792000,77.0,94.0,90.0,4.7
falmouth,gb,50.15,-5.07,1512791400,37.4,87.0,88.0,8.05
ushuaia,ar,-54.8,-68.3,1512792000,44.6,65.0,90.0,25.28
broken hill,au,-31.95,141.43,1512795986,77.56,38.0,0.0,11.92
mackenzie,ca,55.3,-123.17,1512792000,19.4,92.0,1.0,5.82
waitati,nz,-45.75,170.57,1512795986,73.51,48.0,88.0,8.23
mahibadhoo,mv,3.78,72.97,1512795987,79.68,100.0,36.0,5.21
ushuaia,ar,-54.8,-68.3,1512792000,44.6,65.0,90.0,25.28
narsaq,gl,60.92,-46.05,1512795000,42.8,38.0,92.0,50.55
dicabisagan,ph,17.08,122.42,1512795987,73.33,100.0,80.0,17.36
atuona,pf,-9.8,-139.03,1512795610,79.54,100.0,68.0,16.62
khatanga,ru,71.97,102.5,1512795988,-21.58,32.0,0.0,9.08
port blair,in,11.67,92.75,1512795988,83.59,99.0,0.0,9.8
messina,za,38.19,15.55,1512791700,51.8,76.0,0.0,3.36
rikitea,pf,-23.12,-134.97,1512795638,75.31,100.0,92.0,12.1
mayumba,ga,-3.43,10.66,1512795989,76.8,98.0,88.0,4.38
port alfred,za,-33.59,26.89,1512795639,69.78,86.0,20.0,23.67
vaini,to,-21.2,-175.2,1512795978,77.16,100.0,64.0,20.6
kapaa,us,22.08,-159.32,1512791760,75.2,94.0,90.0,6.93
sao joao dos patos,br,-6.5,-43.7,1512795989,73.24,91.0,68.0,4.76
riom,fr,45.9,3.12,1512793800,33.8,74.0,40.0,3.36
longyearbyen,sj,78.22,15.64,1512795000,28.4,79.0,40.0,8.05
avarua,ck,-21.21,-159.78,1512792000,77.0,94.0,90.0,4.7
torbay,ca,47.67,-52.73,1512792000,32.0,100.0,75.0,13.87
albany,au,42.65,-73.76,1512795060,28.4,63.0,90.0,2.53
dikson,ru,73.51,80.55,1512795636,-0.43,100.0,32.0,26.69
albany,au,42.65,-73.76,1512795060,28.4,63.0,90.0,2.53
tuktoyaktuk,ca,69.45,-133.04,1512792000,6.8,84.0,90.0,17.22
salalah,om,17.02,54.09,1512791400,69.8,37.0,0.0,18.34
massakory,td,13.0,15.73,1512795991,62.08,31.0,0.0,14.16
havoysund,no,71.0,24.66,1512795000,23.0,79.0,75.0,19.46
aklavik,ca,68.22,-135.01,1512792000,15.8,85.0,90.0,4.7
port alfred,za,-33.59,26.89,1512795639,69.78,86.0,20.0,23.67
ushuaia,ar,-54.8,-68.3,1512792000,44.6,65.0,90.0,25.28
christchurch,nz,-43.53,172.63,1512793800,80.6,34.0,48.0,6.93
atar,mr,20.52,-13.05,1512795992,55.38,40.0,8.0,15.05
bouar,cf,5.93,15.6,1512795993,71.58,46.0,56.0,2.98
upernavik,gl,72.79,-56.15,1512795645,33.33,82.0,80.0,14.45
cape town,za,-33.93,18.42,1512792000,64.4,82.0,20.0,25.28
punta arenas,cl,-53.15,-70.92,1512792000,41.0,80.0,0.0,21.92
ostrovnoy,ru,68.05,39.51,1512795993,10.29,92.0,56.0,13.78
vikulovo,ru,56.82,70.61,1512795770,17.53,88.0,68.0,16.84
bluff,nz,-46.6,168.33,1512795876,61.41,99.0,48.0,17.4
augusto correa,br,-1.02,-46.63,1512795994,78.01,85.0,92.0,4.83
kupang,id,-10.17,123.58,1512792000,89.6,70.0,40.0,6.93
bengkulu,id,-3.8,102.27,1512795995,82.96,100.0,64.0,5.5
punta arenas,cl,-53.15,-70.92,1512792000,41.0,80.0,0.0,21.92
cape town,za,-33.93,18.42,1512792000,64.4,82.0,20.0,25.28
tena,ec,-0.98,-77.82,1512795995,53.94,89.0,0.0,4.38
lazaro cardenas,mx,17.96,-102.2,1512795996,69.15,100.0,0.0,2.82
port elizabeth,za,-33.92,25.57,1512792000,66.2,77.0,0.0,32.21
cape town,za,-33.93,18.42,1512792000,64.4,82.0,20.0,25.28
chokurdakh,ru,70.63,147.92,1512795802,-4.61,69.0,64.0,10.31
petropavlovsk-kamchatskiy,ru,53.05,158.65,1512793800,37.4,64.0,90.0,22.37
bambous virieux,mu,-20.34,57.76,1512792000,82.4,65.0,40.0,10.29
tynda,ru,55.17,124.72,1512795997,-14.24,60.0,64.0,3.38
paamiut,gl,61.99,-49.67,1512795997,34.59,94.0,92.0,11.03
cherskiy,ru,68.75,161.3,1512795998,-2.99,76.0,68.0,3.2
nenjiang,cn,49.18,125.22,1512795998,-1.64,68.0,48.0,5.88
lufilufi,ws,-13.87,-171.6,1512795998,76.84,100.0,92.0,12.1
caravelas,br,-17.71,-39.25,1512795877,75.58,100.0,92.0,25.41
puerto del rosario,es,28.5,-13.86,1512795600,64.4,77.0,0.0,13.87
puerto princesa,ph,9.74,118.74,1512792000,87.8,66.0,20.0,6.93
castro,cl,-24.79,-50.01,1512795645,60.96,96.0,92.0,6.4
ushuaia,ar,-54.8,-68.3,1512792000,44.6,65.0,90.0,25.28
coquimbo,cl,-29.95,-71.34,1512792000,55.4,93.0,0.0,3.36
krasnyy yar,ru,46.53,48.35,1512793800,30.2,63.0,75.0,8.95
new norfolk,au,-42.78,147.06,1512793800,71.6,30.0,0.0,23.04
barrow,us,71.29,-156.79,1512791580,-0.41,77.0,90.0,19.46
shitanjing,cn,39.23,106.34,1512796000,25.63,38.0,48.0,8.3
saskylakh,ru,71.92,114.08,1512795639,-7.94,65.0,44.0,6.85
mar del plata,ar,-38.0,-57.56,1512792000,62.6,88.0,20.0,13.87
alice springs,au,-23.7,133.88,1512792000,87.8,11.0,0.0,13.87
salalah,om,17.02,54.09,1512791400,69.8,37.0,0.0,18.34
asau,tv,46.43,26.4,1512793800,32.0,74.0,8.0,2.24
naryan-mar,ru,67.67,53.09,1512796001,20.68,90.0,80.0,13.04
bogatyye saby,ru,56.01,50.45,1512796001,13.93,85.0,68.0,6.62
hobart,au,-42.88,147.33,1512793800,71.6,30.0,0.0,23.04
busselton,au,-33.65,115.33,1512795639,79.32,70.0,68.0,3.87
lompoc,us,34.64,-120.46,1512794100,50.0,31.0,1.0,4.7
chernyakhovsk,ru,54.63,21.82,1512796001,33.42,85.0,80.0,18.07
georgetown,sh,6.8,-58.16,1512795982,77.56,84.0,68.0,4.61
zhuanghe,cn,39.7,122.99,1512796002,41.61,93.0,36.0,6.85
albany,au,42.65,-73.76,1512795060,28.4,63.0,90.0,2.53
punta arenas,cl,-53.15,-70.92,1512792000,41.0,80.0,0.0,21.92
honiara,sb,-9.43,159.95,1512792000,84.2,83.0,75.0,9.17
cooma,au,-36.23,149.13,1512796003,67.89,63.0,0.0,4.88
severo-kurilsk,ru,50.68,156.12,1512796003,31.35,100.0,68.0,13.67
baracoa,cu,20.35,-74.5,1512796003,76.17,100.0,8.0,5.21
pisco,pe,-13.7,-76.22,1512792000,66.2,88.0,0.0,12.75
albany,au,42.65,-73.76,1512795060,28.4,63.0,90.0,2.53
belaya gora,ru,68.53,146.42,1512796004,-9.43,69.0,76.0,6.22
lumeje,ao,-11.55,20.78,1512796004,67.39,100.0,92.0,4.32
belyy yar,ru,53.6,91.39,1512793800,5.0,84.0,75.0,3.09
novopokrovka,ru,49.84,36.55,1512793800,32.0,97.0,75.0,6.71
yellowknife,ca,62.46,-114.35,1512792000,8.6,84.0,75.0,8.05
kodiak,us,57.79,-152.41,1512791580,39.2,93.0,90.0,12.75
katsuura,jp,35.13,140.3,1512793800,48.2,39.0,20.0,8.05
talnakh,ru,69.49,88.4,1512796005,5.34,84.0,80.0,14.27
castro,cl,-24.79,-50.01,1512795645,60.96,96.0,92.0,6.4
alofi,nu,-19.06,-169.92,1512792000,82.4,65.0,44.0,5.82
provideniya,ru,64.38,-173.3,1512796006,21.18,100.0,0.0,19.71
albany,au,42.65,-73.76,1512795060,28.4,63.0,90.0,2.53
kruisfontein,za,-34.0,24.73,1512796006,65.59,92.0,92.0,21.72
east london,za,-33.02,27.91,1512796006,70.81,100.0,0.0,25.12
punta arenas,cl,-53.15,-70.92,1512792000,41.0,80.0,0.0,21.92
lloydminster,ca,53.28,-110.0,1512792000,24.8,68.0,5.0,12.75
homagama,lk,6.84,80.0,1512792600,84.2,62.0,5.0,4.7
gorontalo,id,0.54,123.06,1512796007,84.31,74.0,44.0,2.53
chokurdakh,ru,70.63,147.92,1512795802,-4.61,69.0,64.0,10.31
benguela,ao,-12.58,13.41,1512796007,74.37,100.0,88.0,5.84
port alfred,za,-33.59,26.89,1512795639,69.78,86.0,20.0,23.67
hobyo,so,5.35,48.53,1512795876,77.56,93.0,24.0,20.54
tiksi,ru,71.69,128.87,1512795983,-11.59,76.0,56.0,2.86
belmonte,br,-15.86,-38.88,1512795600,77.0,94.0,75.0,8.05
constitucion,mx,-35.33,-72.42,1512796008,52.23,95.0,0.0,8.63
novyy svit,ua,47.81,38.02,1512796009,37.78,98.0,92.0,8.01
pevek,ru,69.7,170.31,1512796009,9.66,84.0,44.0,10.92
puerto ayora,ec,-0.74,-90.35,1512795643,71.13,100.0,0.0,7.74
puerto ayora,ec,-0.74,-90.35,1512795643,71.13,100.0,0.0,7.74
tasiilaq,gl,65.61,-37.64,1512795983,27.34,100.0,92.0,17.85
dikson,ru,73.51,80.55,1512795636,-0.43,100.0,32.0,26.69
hobart,au,-42.88,147.33,1512793800,71.6,30.0,0.0,23.04
bollnas,se,61.35,16.39,1512796009,29.28,96.0,24.0,4.83
albany,au,42.65,-73.76,1512795060,28.4,63.0,90.0,2.53
torbay,ca,47.67,-52.73,1512792000,32.0,100.0,75.0,13.87
puerto ayora,ec,-0.74,-90.35,1512795643,71.13,100.0,0.0,7.74
barrow,us,71.29,-156.79,1512791580,-0.41,77.0,90.0,19.46
atuona,pf,-9.8,-139.03,1512795610,79.54,100.0,68.0,16.62
rikitea,pf,-23.12,-134.97,1512795638,75.31,100.0,92.0,12.1
santo antonio do sudoeste,br,-26.07,-53.73,1512796010,73.06,65.0,20.0,4.54
sambava,mg,-14.27,50.17,1512796010,79.54,100.0,80.0,6.55
ushuaia,ar,-54.8,-68.3,1512792000,44.6,65.0,90.0,25.28
inta,ru,66.03,60.17,1512795903,11.82,75.0,44.0,2.98
kapaa,us,22.08,-159.32,1512791760,75.2,94.0,90.0,6.93
ushuaia,ar,-54.8,-68.3,1512792000,44.6,65.0,90.0,25.28
albany,au,42.65,-73.76,1512795060,28.4,63.0,90.0,2.53
digha,in,21.68,87.55,1512796011,70.36,100.0,92.0,17.4
meulaboh,id,4.14,96.13,1512796011,82.06,100.0,24.0,2.04
ancud,cl,-41.87,-73.82,1512795874,44.31,84.0,12.0,3.27
vao,nc,-22.67,167.48,1512796012,76.35,100.0,76.0,9.24
bubaque,gw,11.28,-15.83,1512796012,76.62,100.0,56.0,17.13
sinnamary,gf,5.38,-52.95,1512796013,77.16,100.0,64.0,7.34
rikitea,pf,-23.12,-134.97,1512795638,75.31,100.0,92.0,12.1
kiama,au,-34.68,150.87,1512792000,73.4,56.0,8.0,16.11
saint george,bm,37.1,-113.58,1512791760,48.2,23.0,1.0,6.93
georgetown,sh,6.8,-58.16,1512795982,77.56,84.0,68.0,4.61
san patricio,mx,19.22,-104.7,1512795522,62.44,100.0,24.0,2.08
port alfred,za,-33.59,26.89,1512795639,69.78,86.0,20.0,23.67
gamba,ga,-2.65,10.0,1512795977,75.54,96.0,80.0,4.5
imbituba,br,-28.24,-48.67,1512792000,69.8,83.0,75.0,6.93
kieta,pg,-6.22,155.63,1512796014,78.91,100.0,92.0,4.61
new norfolk,au,-42.78,147.06,1512793800,71.6,30.0,0.0,23.04
iracoubo,gf,5.48,-53.2,1512796014,76.35,92.0,92.0,4.05
kamaishi,jp,39.27,141.88,1512794280,32.0,72.0,75.0,4.7
sao filipe,cv,14.9,-24.5,1512796015,76.35,97.0,76.0,14.61
cape town,za,-33.93,18.42,1512792000,64.4,82.0,20.0,25.28
sladkovo,ru,55.53,70.34,1512796016,17.44,87.0,92.0,18.14
alamosa,us,37.47,-105.87,1512791520,26.6,32.0,1.0,6.93
lagoa,pt,39.05,-27.98,1512796016,67.08,96.0,0.0,15.12
katsuura,jp,35.13,140.3,1512793800,48.2,39.0,20.0,8.05
bentiu,sd,9.23,29.83,1512796017,70.95,67.0,0.0,9.35
hermanus,za,-34.42,19.23,1512795980,63.34,88.0,88.0,6.55
hudson bay,ca,52.85,-102.38,1512796017,8.49,77.0,8.0,2.3
ribeira grande,pt,38.52,-28.7,1512796017,67.35,95.0,0.0,14.9
waipawa,nz,-41.41,175.52,1512793800,73.4,60.0,12.0,20.8
busselton,au,-33.65,115.33,1512795639,79.32,70.0,68.0,3.87
ushuaia,ar,-54.8,-68.3,1512792000,44.6,65.0,90.0,25.28
lorengau,pg,-2.02,147.27,1512792000,89.6,70.0,75.0,9.17
stornoway,gb,58.21,-6.39,1512793200,33.8,82.0,88.0,19.46
mahebourg,mu,-20.41,57.7,1512792000,82.4,65.0,40.0,10.29
totma,ru,59.97,42.76,1512796019,15.28,90.0,92.0,12.33
khatanga,ru,71.97,102.5,1512795988,-21.58,32.0,0.0,9.08
grand gaube,mu,-20.01,57.66,1512792000,82.4,65.0,40.0,10.29
rikitea,pf,-23.12,-134.97,1512795638,75.31,100.0,92.0,12.1
ushuaia,ar,-54.8,-68.3,1512792000,44.6,65.0,90.0,25.28
busselton,au,-33.65,115.33,1512795639,79.32,70.0,68.0,3.87
coahuayana,mx,18.73,-103.68,1512791340,66.2,82.0,40.0,2.82
hermanus,za,-34.42,19.23,1512795980,63.34,88.0,88.0,6.55
altay,cn,47.87,88.12,1512796020,17.26,60.0,0.0,2.82
castro,cl,-24.79,-50.01,1512795645,60.96,96.0,92.0,6.4
lebu,cl,-37.62,-73.65,1512796021,53.31,100.0,32.0,17.92
charlestown,kn,-32.95,151.67,1512793800,73.4,56.0,0.0,14.99
pisco,pe,-13.7,-76.22,1512792000,66.2,88.0,0.0,12.75
bambous virieux,mu,-20.34,57.76,1512792000,82.4,65.0,40.0,10.29
sambava,mg,-14.27,50.17,1512796010,79.54,100.0,80.0,6.55
esperance,au,-33.87,121.9,1512796022,90.39,28.0,12.0,5.84
busselton,au,-33.65,115.33,1512795639,79.32,70.0,68.0,3.87
paraiso,mx,9.84,-83.87,1512792000,68.0,100.0,75.0,1.12
bluff,nz,-46.6,168.33,1512795876,61.41,99.0,48.0,17.4
kabompo,zm,-13.59,24.2,1512796022,67.62,94.0,80.0,4.76
svetlogorsk,ru,52.63,29.73,1512795866,30.54,98.0,68.0,9.64
lerwick,gb,60.15,-1.15,1512795000,35.6,64.0,44.0,24.16
rafai,cf,4.95,23.92,1512796023,70.86,72.0,0.0,7.34
rikitea,pf,-23.12,-134.97,1512795638,75.31,100.0,92.0,12.1
noumea,nc,-22.28,166.46,1512793800,91.4,41.0,0.0,11.41
sydney mines,ca,46.24,-60.22,1512792000,33.8,74.0,90.0,4.7
nalut,ly,31.87,10.98,1512796024,33.91,83.0,0.0,2.86
new norfolk,au,-42.78,147.06,1512793800,71.6,30.0,0.0,23.04
mayumba,ga,-3.43,10.66,1512795989,76.8,98.0,88.0,4.38
alibag,in,18.64,72.88,1512795600,84.2,74.0,0.0,3.36
passagem franca,br,-6.18,-43.78,1512796025,73.24,92.0,0.0,3.2
ballangen,no,68.34,16.83,1512795000,28.4,63.0,24.0,10.29
busselton,au,-33.65,115.33,1512795639,79.32,70.0,68.0,3.87
port alfred,za,-33.59,26.89,1512795639,69.78,86.0,20.0,23.67
butaritari,ki,3.07,172.79,1512795938,82.56,100.0,76.0,12.15
busselton,au,-33.65,115.33,1512795639,79.32,70.0,68.0,3.87
dikson,ru,73.51,80.55,1512795636,-0.43,100.0,32.0,26.69
thompson,ca,55.74,-97.86,1512793920,-4.01,83.0,90.0,2.24
kapaa,us,22.08,-159.32,1512791760,75.2,94.0,90.0,6.93
vaini,to,-21.2,-175.2,1512795978,77.16,100.0,64.0,20.6
shahreza,ir,32.03,51.88,1512796026,33.19,23.0,0.0,3.6
bredasdorp,za,-34.53,20.04,1512792000,68.0,77.0,56.0,8.05
hithadhoo,mv,-0.6,73.08,1512795981,82.11,100.0,8.0,9.35
vestmannaeyjar,is,63.44,-20.27,1512795729,27.39,100.0,0.0,6.89
kodiak,us,57.79,-152.41,1512791580,39.2,93.0,90.0,12.75
san quintin,mx,30.48,-115.95,1512796027,41.34,91.0,8.0,3.53
shimoda,jp,34.67,138.95,1512792000,53.6,34.0,20.0,11.41
tasiilaq,gl,65.61,-37.64,1512795983,27.34,100.0,92.0,17.85
aden,ye,12.78,45.04,1512796007,79.36,97.0,0.0,19.04
tiksi,ru,71.69,128.87,1512795983,-11.59,76.0,56.0,2.86
buchanan,lr,5.88,-10.05,1512793800,77.0,94.0,75.0,5.82
saldanha,za,-33.01,17.94,1512792000,62.6,82.0,0.0,16.11
san patricio,mx,19.22,-104.7,1512795522,62.44,100.0,24.0,2.08
port alfred,za,-33.59,26.89,1512795639,69.78,86.0,20.0,23.67
busselton,au,-33.65,115.33,1512795639,79.32,70.0,68.0,3.87
port alfred,za,-33.59,26.89,1512795639,69.78,86.0,20.0,23.67
sao filipe,cv,14.9,-24.5,1512796015,76.35,97.0,76.0,14.61
yeppoon,au,-23.13,150.73,1512793800,84.2,58.0,88.0,8.05
port hardy,ca,50.7,-127.42,1512792000,46.4,65.0,75.0,19.46
butaritari,ki,3.07,172.79,1512795938,82.56,100.0,76.0,12.15
cherskiy,ru,68.75,161.3,1512795998,-2.99,76.0,68.0,3.2
viedma,ar,-40.81,-63.0,1512795752,61.14,88.0,0.0,11.36
coatzintla,mx,20.48,-97.45,1512796029,45.75,100.0,8.0,8.23
punta arenas,cl,-53.15,-70.92,1512792000,41.0,80.0,0.0,21.92
san patricio,mx,19.22,-104.7,1512795522,62.44,100.0,24.0,2.08
punta arenas,cl,-53.15,-70.92,1512792000,41.0,80.0,0.0,21.92
busselton,au,-33.65,115.33,1512795639,79.32,70.0,68.0,3.87
east london,za,-33.02,27.91,1512796006,70.81,100.0,0.0,25.12
fortaleza,br,-3.72,-38.52,1512795600,80.6,78.0,40.0,8.05
atuona,pf,-9.8,-139.03,1512795610,79.54,100.0,68.0,16.62
klaksvik,fo,62.23,-6.59,1512795000,30.2,68.0,48.0,28.86
san carlos de bariloche,ar,-41.15,-71.31,1512792000,53.6,46.0,75.0,20.8
new norfolk,au,-42.78,147.06,1512793800,71.6,30.0,0.0,23.04
khor,qa,47.89,134.95,1512796031,-5.06,82.0,44.0,3.49
pangnirtung,ca,66.15,-65.71,1512796031,20.1,93.0,80.0,5.73
castro,cl,-24.79,-50.01,1512795645,60.96,96.0,92.0,6.4
bhuj,in,23.27,69.67,1512796032,77.29,48.0,0.0,6.73
kapaa,us,22.08,-159.32,1512791760,75.2,94.0,90.0,6.93
cabo san lucas,mx,22.89,-109.91,1512790980,68.0,37.0,5.0,3.36
rupert,us,42.62,-113.68,1512792420,24.8,79.0,90.0,10.29
lebu,cl,-37.62,-73.65,1512796021,53.31,100.0,32.0,17.92
manikpur,in,25.07,81.12,1512796033,73.47,51.0,0.0,4.88
inta,ru,66.03,60.17,1512795903,11.82,75.0,44.0,2.98
broken hill,au,-31.95,141.43,1512795986,77.56,38.0,0.0,11.92
vaini,to,-21.2,-175.2,1512795978,77.16,100.0,64.0,20.6
